Date,High,Low,Open,Close,Volume,Adj Close,Signal,MACD,SIGNAL LINE,plusDI,minusDI,adx,MACD-SL,DMI,MACD-SL_n,DMI_n,Close_n
5/28/2004,25.29999924,24.5,24.84000015,25.12999916,2721500,22.55888176,wait or hold,0.08323677218805159,-0.3309266454189555,33.00398206575186,20.570643166657014,24.060881147592617,0.4141634176070071,12.43333889909485,0.4354425881083106,0.2759701998479953,-0.7076479447571973
6/1/2004,25.30999947,24.5,24.81999969,24.94000053,2350300,22.38832664,wait or hold,0.20040648135154626,-0.22465996670111493,30.879452896134758,19.1950127760112,24.00897023770233,0.4250664480526612,11.684440120123558,0.4465066886590239,0.25465404529495617,-0.7131313104610318
6/2/2004,24.97999954,23.90999985,24.97999954,24.27000046,2312800,21.78686714,wait or hold,0.23677467664115426,-0.13237300095780205,28.196953235666953,22.31757450690108,23.12539992325063,0.3691476775989563,5.879378728765872,0.38976183207480264,0.08942265584332065,-0.7324675309664364
6/3/2004,24.20999908,23.5,24.14999962,23.52000046,2256400,21.11360168,wait or hold,0.20305692171197975,-0.06528699486323461,26.418393334629474,24.26846988897306,21.7765555855982,0.2683439165752144,2.149923445656416,0.28746890045217266,-0.01673006792344678,-0.7541125516588272
6/4/2004,24.68000031,23.94000053,24.04000092,24.27000046,2000200,21.78686714,wait or hold,0.23385816719729746,-0.005457947068476507,27.727249686979157,22.01554183531429,21.041264725597667,0.23931611426577398,5.711707851664865,0.25801227138755434,0.08465018400775692,-0.7324675309664364
6/7/2004,25.17000008,24.43000031,24.43000031,25.17000008,1283600,22.59478951,wait or hold,0.326786888180262,0.06099103364903377,29.650433305597485,20.43079710943613,20.853271844207182,0.2657958545312282,9.219636196161353,0.2848831959726117,0.1844975129818902,-0.7064935171023776
6/8/2004,24.98999977,24.57999992,24.79000092,24.88999939,1147300,22.3434391,wait or hold,0.37362221087759906,0.12351727938346907,28.216504356114463,19.442740336899732,20.67870702577316,0.25010493149413,8.773764019214731,0.26896047145292035,0.17180650519609886,-0.714574344740956
6/9/2004,24.80999947,23.88999939,24.67000008,24.10000038,2017700,21.63426399,wait or hold,0.3432822971936531,0.16747028873149605,25.927775235036354,23.46248931866301,19.55818802413925,0.17581200846215705,2.465285916373343,0.19357002154733616,-0.007753801230550916,-0.7373737379655136
6/10/2004,24.48999977,24.11000061,24.39999962,24.35000038,1270100,21.85868835,wait or hold,0.3354688617579953,0.20107000687525922,25.07358190310618,22.68951509527485,18.517706094050617,0.13439885488273606,2.3840668078313314,0.15154507283158902,-0.010065567678774756,-0.7301587310680501
6/14/2004,24.19000053,23.78000069,24.15999985,23.92000008,1514500,21.47268105,wait or hold,0.2913361468305027,0.21912323638728945,23.837500658399396,24.42506831845123,17.28197277798285,0.07221291044321324,-0.5875676600518354,0.08844045750932406,-0.09464818601278535,-0.7425685515896958
